published_time,title,text,time,location,height
"February 28, 2012","One killed, two injured in vehicle accident","A 67-year-old man died in a vehicle accident in Paro on Sunday. The accident occurred at around 5:30 pm near Shaba Middle Secondary School. The alto car, the deceased was driving, collided head on with a Prado.The deceased along with three passengers including a child were travelling to Paro from Phuentsholing. One passenger is recovering at the Paro hospital while the child and the other passenger have been referred to the National Referral Hospital in Thimphu.Why accidents occur?Travelling on the Thimphu Paro highway has become much comfortable after road widening was carried out. But accidents along the highway, particularly in Isuna, are becoming a concern.Just a few weeks ago two men died after the Hiace bus they were travelling in skidded on the ice and rammed on a cliff. Recently another accident occurred but fortunately no one was injured. Last year one accident took place in the area and the year before 12 vehicles met with an accident all at a time. The cause of all these accidents according to the police is skidding on the ice.“About two to three weeks ago an accident occurred and when we went to check we found the water from the field has overflowed and spilled on to the highway. Since its cold at night it has turned into ice and the vehicle has skidded on the ice and had an accident. Recently also when an accident occurred we found it was due to skidding on the ice,” said Captain Wangyal Dorji, OC, Paro.But where did the ice come from? Residents in the area blamed on poor drainage. They said the drain was damaged during the road widening.“We have to supply water to the field. No matter how careful we are, water overflows and spills on the highway. There have been many accidents in the area. I even feel shy to supply water to my fields because everyone knows it’s my field where the water is being supplied. Many feel the accidents are caused by me,” said one of the local residents“I have seen frequent accidents occurring whenever water is supplied to the field. We are not doing it purposely,” said another.The residents said the matter has been taken up to the highest authority but nothing has been done so far.“We informed the Tshogpa who in turn informed the Gewog. The Gewog officials wrote to the Dzongkhag administration but there was no response from the Dzongkhag,” said one of the residents there, adding that they also approached Lyonpo who asked the Department of Roads to make the drain. “An engineer from the Department came and took the measurement of the drain. The Gup also came at that time. We were happy that the problem was going to be fixed but it’s more than a year and a half and nothing happened.”The engineer said it would cost Nu. 700,000 and the matter had been forwarded to Thimphu.The site engineer of the Department of Roads in Paro said an inspection was carried out in the area after they received complaint from the locality.  He said the matter was taken to the Works and Human Settlement Ministry but the Ministry said that they do not have a budget.","['around 5:30 pm', 'night']", around 5:30 pm near Shaba Middle Secondary School,no metre height
"July 24, 2018",Young man dies in accident,A 19-year-old boy has died in a vehicle accident in Wangsisina in Thimphu. The accident took place last evening.Two other people were injured. One is being treated at Gidakom hospital and the other at the national referral hospital.The driver was also admitted to hospital but was later discharged.The bolero pickup he was driving fell about 70 metres below the road.Police say the accident was caused by drunk driving.The case has been forwarded to court as per the Road Safety and Transport Authority’s Rules and Regulations.,['last evening'],ed ,70
"August 2, 2018",Man dies in accident,"A 66-year-old man was killed on the spot in a vehicle accident in Kanglung, Trashigang. The accident took place towards the afternoon yesterday.The car he was driving fell about 500 metres below the road. He was on his to Kanglung from Trashigang town.The cause of the accident is not known.The Dzongkhag Kidu Office has handed over Royal Semso to the family of the deceased.",['the afternoon'],no location info,500
"August 14, 2018",Man dies in accident,A 29-year-old man from Rongthoong in Trashigang has died in an accident in Trashigang.He was killed on impact after the truck he was driving fell about 300 meters below the road. The accident occurred yesterday.It happened at a site that is about 5.5 kilometres away from Trashigang towards Kanglung.,[], a site th,kilo
"August 23, 2018",Man dies in accident,A 46-year-old man from Wangdue Phodrang died after his vehicle fell more than 100 metres below the road at Dalukha in Thimphu.He succumbed to injuries after reaching the National Referral Hospital.The incident occurred on Tuesday on his way to Thimphu from ParoThe deceased was alone during the incident and the cause of the accident is not known.,[], Dalukha in Thimphu,100
"October 20, 2018",Student dies in accident,"A 19-year-old student of Damphu Central School died on the spot when the bolero he was travelling in went off the road near Rangthaling Gewog Center in Tsirang yesterday.The four other people in the vehicle, including the driver, were immediately taken to the district hospital and are now in a stable condition.They were on their way to Damphu town when the mishap occurred.Police suspect narrow road and busy traffic as the cause of the accident.",[],ely taken to the district hospital and are now in a stable condition,no metre height
"November 15, 2018",Motor vehicle accidents on the rise,"Motor vehicle accidents across the country are on the rise according to the police. From more than 800 vehicle accidents last year the number has reached to 1,132 till October this year.Similarly, there is an increase in motor vehicle fatality. Last year, 104 people lost their lives in vehicle accidents and 457 were injured. But this year till October, police recorded 116 deaths and 663 injuries from vehicle accidents.However, in the capital, vehicle accidents have been declining since 2015.Last year, Thimphu recorded 506 vehicle accidents with 13 deaths and 242 injured. The figure this year until last month is 387 vehicle accidents with 6 deaths and 171 injured.According to the police, the maximum number of accidents is reported from Paro, Phuentshogling and Samdrup Jongkhar compared to other districts.Police say drink driving, speeding and driving under the influence of substances are the main causes of road accidents.",[],ality,no metre height
"December 20, 2018",3 died in vehicle accident,"Three people died in a vehicle accident in Samdrup Jongkhar when the Maruti van they were travelling in veered some 20 meters off the road. The accident took place at about six kilometres away from Samdrup Jongkhar towards Trashigang on December 17.However, the accident was discovered only at 5 pm the next day, when the families started looking for them. The 57-year-old man died along with a 26-year-old woman and her six-year-old daughter.The woman and her daughter had hitched a ride from Dewathang.Police and locals recovered the dead bodies and were handed over to their families.About 11 people died in vehicle accidents in Samdrup Jongkhar this year.",['5 pm the next day'], about six kilometres away from Samdrup Jongkhar towards Trashigang on December 17,kilo
"March 21, 2012","2 Killed, 1 injured in vehicle accident","Two people were killed in an accident at Lamsarong in Samdrup Jongkhar. The accident took place at around 8:30 last evening. The oil-tanker truck that the deceased were travelling in fell-off about 50 metres below the road. The accident occurred at about 24 kilometres from Samdrup Jongkhar towards Trashigang.There were three people including the driver at the time of the accident. The 48-year-old driver and a 38-year-old female passenger died on the spot.The other passenger, who is the husband of the deceased, has suffered severe injury, and has been referred to a hospital in Guwahati, India. The truck was carrying diesel and was on its way to Pemagatshel. The cause of the accident is being investigated.",['around 8:30 last evening'], Lamsarong in Samdrup Jongkhar,50
"February 13, 2019","1,360 vehicle accidents reported in 2018","A total of 1,360 of vehicle accidents were reported last year, an increase of 498 from 2017 according to the report maintained with Road Safety and Transport Authority (RSTA).The traffic accidents claimed 104 lives in 2017, it increased to 135 last year.Similarly, there is an increase in the number of people injured in road crashes. Last year, 807 people were injured in road crashes. It is an increase from 457 in 2017.”Increase in the figure of road fatalities is a big concern for RSTA. We are going to monitor the traffic violations with better safety equipment like speed gun, which will not only capture the speed but also the picture of the vehicle,” Sonam Dhendup, the Programme Officer of RSTA, said.RSTA says bad road conditions, weather, speeding, drink driving and unlicensed driving were some of the reasons for road crashes.”This is all about being the self-discipline. If we look at the figures, speeding and using mobile phones while driving occurs only when people feel that they are not under the surveillance of the law. If they know they are being watched they tend to be careful while driving,” Sonam Dhendup said.The authority also plans to enhance the frequency of inspections on the highway to reduce road fatalities.The increasing number of vehicles in the country is also one of the reasons for an increase in traffic accidents according to RSTA. On average, close to 700 vehicles are imported in a month.As of December last year, there are 100,544 vehicles in the country.",[],alities is a big concern for RSTA,no metre height
"February 14, 2019",Man dies in accident,"A 21-year-old man succumbed to accident injuries at Kanglung BHU in Trashigang yesterday.The car he was travelling in went off the road at Thrizor, about 47 kilometres away from Wamrong towards Kanglung.Meanwhile, the driver and his wife survived and are being treated at the BHU.They were on their way to Roongthong from Khaling.The cause of the accident is under investigation.",[], Kanglung BHU in Trashigang yesterday,kilo
"March 29, 2019",Man dies in vehicle accident,"A 27-year-old man died on the spot when the Bolero truck he was driving veered off the road near Shingnyer village on the Ura-Nangar highway in Bumthang on March 26.The deceased was a project engineer of a construction company working for the East-West Highway widening project.There were 3 other men in the truck when the incident happened.  One of them suffered serious injury and was referred to the Jigme Dorji Wangchuck National Referral Hospital in Thimphu.The other two who escaped with minor injuries are under observation at Wangdicholing Hospital in Bumthang.According to police, the accident occurred due to speeding.",[],ional Referral Hospital in Thimphu,no metre height
"April 10, 2019",Accident kills one in Trongsa,"A 30-year-old woman died on the spot when the car she was driving veered off the road in Trongsa yesterday.The accident took place at around 11 am near Dorji Goenpa, which is about 21 kilometres from Trongsa towards Bumthang.There were four passengers, the deceased’s three siblings and her two-year-old daughter at the time of the accident.  They escaped with minor injuries and are in stable condition.Police suspect foggy weather to have caused the accident.",['11 am']," around 11 am near Dorji Goenpa, which is about 21 kilometres from Trongsa towards Bumthang",kilo
"April 15, 2019",Man dies in vehicle accident in Trongsa,"A 56-year-old man died on the spot, when the bolero truck, he was driving went off the road at Dangdung of Langthil Gewog in Trongsa.The incident occurred at around 10:30 pm yesterday. The deceased was alone at the time of the accident.The deceased from Samcholing in Draggkteng Gewog was on his way to Yurmong Power House. The cause of the accident is not known.",['around 10:30 pm'], Dangdung of Langthil Gewog in Trongsa,no metre height
"April 23, 2019",One dead and five injured in car accident,A 28-year-old woman succumbed to accident injuries on her way to Dewathang hospital on April 21.The car she was travelling in went about 50 meters off the road at Teakshingri in Samdrup Jongkhar.The driver and other four passengers survived with injuries. They were travelling to Samdrup Jongkhar from Pema Gatshel.,[],hang hospital on April 21,Gatshel.
"May 5, 2019","7 killed,16 injured & 1 missing in Bus accident","Seven people including the driver were killed in a bus accident in Wangdue Phodrang yesterday. The public transport bus they were travelling in plunged into the Punatsangchu River, about 100 metres below the road near the Basochhu hydropower colony.According to police, falling boulders had hit the bus after which the driver lost control of the vehicle. The bus was heading towards Tsirang from Thimphu.There were 24 people on board.Of the 16 passengers, who were injured, 3 were referred to the national referral hospital in Thimphu,5 are still under observation in Bajo Hospital and 8 were discharged.Meanwhile, the search is still underway for one missing passenger.The Prime Minister’s Office (PMO) facebook page yesterday said that PM after attending to the situation at the Bajo hospital in Wangduephodrang, where His Majesty The King personally supervised and guided rescue and relief efforts, returned to JDWNRH to examine the three patients.“We offer our sincere gratitude to the Royal Bhutan Army, Royal Bhutan Police, Desuups, dzongkhag administration officials, PHPA and health officials for the selfless rescue efforts. The works were carried out amid landslides and falling boulders.”PM also thank the Wangdue Phodrang Dzong reconstruction project team and the residents for arranging meals and refreshment for those helping at the site.It also stated that RSTA has been asked to closely monitor road and weather conditions in the coming days before allowing public transports to leave the terminals.  “We would once again, like to appeal to everyone to refrain from travelling in this climate.”“We offer our prayers for those who lost their lives today and wish much strength to the loved ones to see through the difficult time,” says PMO’s facebook page.",[],"sangchu River, about 100 metres below the road near the Basochhu hydropower colony",100
"May 6, 2019",Bus accident:last missing passenger’s body recovered,"(Update): The search and rescue team recovered the body of the last missing passenger of Thimphu- Tsirang bus accident yesterday evening.The body of the 26-year-old woman from Tsirang was identified as the missing passenger. Her body was found underneath the bus, which was submerged in the water at the accident place.The bus accident on May 4 has claimed the lives of eight people, including the woman.There were 24 people on the board.Of the 16 injured passengers, 3 were referred to the national referral hospital in Thimphu on the same day. Out of 13 kept at Bajo Hospital, 12 were discharged. The last passenger, who is still kept under observation, is said to be in stable condition.Falling boulders had hit the bus after which the driver lost control of the vehicle, according to police. The public transport bus had plunged into the Punatsangchu River, about 100 metres below the road.",['evening'],e): The search and rescue team recovered the body of the last missing passenger of Thimphu- Tsirang bus accident yesterday evening,100
"April 9, 2012",2 killed in Samtse vehicle accident,"Two people were killed in an accident at Deorali under Dorokha Dungkhag in Samtse on Saturday. The accident took place at around 1:45 in the afternoon. The Bolero jeep carrying 10 passengers fell 60 feet below the road.One passenger died on the spot, while the others suffered injuries. They are being treated at the Samtse hospital, and are in stable condition. Three have been already discharged.One passenger suffering internal bleeding was referred to Thimphu hospital yesterday. The bolero jeep was on its way to Dorokha from Samtse. The cause of the accident is under investigation.",['1:45 in the afternoon'], Deorali under Dorokha Dungkhag in Samtse on S,no metre height
"July 22, 2019",Gasa car accident- 2 reported missing,"Two men are reported missing after their car veered off the road and plunged into the Mochhu River on Saturday at Tap-Shangnyey in Khamaed Gewog, Gasa.According to the officials, the duo in their age of 22 and 47 were both working in one of the private constructions in Gasa and was heading towards Punakha while the incident occurred. The rescue team comprising of dzongkhag officials, Desuups, Police and locals carried out the search since Saturday night, but could not find a trace of them so far.It is reported that the vehicle went off the road and directly plunged into the river from a height of almost 300 meters. Since the incident place is on a steep cliff with a fast-flowing river below, the search team could not get into the river. The cause of the accident is yet to be ascertained.",['night'],urday ,ascertained.
"August 27, 2019",Man dies in a Motor vehicle accident,"A 36 year-old-man died on the spot when a bolero pickup truck, he was driving, veered off the road at Sidpa, about 17 km from Largyab Gewog office in Dagana.During the incident, there were two other passengers. They were taken to the Tsirang Hospital.The incident took place at around 7 pm yesterday",['7 pm']," Sidpa, about 17 km from Largyab Gewog office in Dagana",no metre height
"April 19, 2012",Two Killed in an accident in Wangdue,"Two non-national workers were killed in an accident in Wangdue Phodrang, when a tripper truck went off the road, Thursday afternoon at Rurichu. The helper was killed on the spot, while the driver succumbed to injuries at the Wangdue hospital.The accident occurred while the truck was unloading excavated soil at the dumping yard. According to sources the gravitational pull of the tripper could have led to the accident. The tripper truck belongs to the Hisdustan Construction Company at the Puna Tsangchhu hydropower project phase one. Both the deceased are non-nationals. Investigation into the accident is underway.",['afternoon'],"ional workers were killed in an accident in Wangdue Phodrang, when a tripper truck went off the road, Thursday afternoon ",no metre height
"September 14, 2019",Accident kills one,"A 37- year- old man died when the bolero he was driving veered off the road near the Sherichu along Trashigang-Monggar highway. The accident occurred at around 6:30 pm yesterday.The deceased, from Yangnyer Gewog in Trashigang, was on his way to Monggar.The cause of the accident is not known.Sonam Darjay",['around 6:30 pm'], around 6:30 pm yesterday,no metre height
"September 28, 2019",978 motor vehicle accidents recorded in the country this year,"On average, Thimphu records two to three motor vehicle accidents every day. As per the report maintained with the Thimphu Traffic Division, of the 978 vehicle accidents reported in the country since January this year, more than 300 occurred within Thimphu.Of the total registered Motor Vehicle Accident cases in the town, the highest accident reported is due to drink-driving with 75 followed by speeding. Last year as well, drink driving was the main cause of the accident in Thimphu with more than hundred cases registered.“In the core town area, accidents happen because of drink-driving. People tend to drink during rainy or cold weathers. The accidents happen mostly on Fridays and Saturdays because of more number of people drinking and driving,” Lieutenant-colonel Namgay, the Superintendent of Police, Traffic Division, said.The increase in the number of vehicles, traffic law violations and bad road and weather conditions are other reasons for road accidents.“People drive carefully when they see traffic police. But the moment they know that they are not under any surveillance, they drive recklessly, under the influence of alcohol or over speed,” Lieutenant-colonel Namgay added.He said against the increasing road crashes in the city, the Thimphu Traffic Division plans to carry out strict enforcement of traffic laws, improve road conditions through coordination with relevant stakeholders and organize advocacy programs.As of December last year, there are more than 100,000 vehicles in the country and half of it is registered in Thimphu region.Pema Seldon Tshering",[],hers,no metre height
"October 5, 2019",A 69-year-old woman dies in a vehicle accident,A 69-year-old woman from Samdrup Jongkhar died on the spot in a vehicle accident on the evening of Thursday. The pickup truck she was travelling in fell more than 100 feet below the road near Chazam in Wangdue Phodrang.Sources say the vehicle was coming from Trongsa towards Thimphu. The driver is undergoing treatment in Saephu Basic Health Unit and he is said to be in stable condition. There were only two people including the deceased in the vehicle.Sources say bad weather and muddy road condition could have caused the accident.Changa Dorji,['the evening'],ment in Saephu Basic Health Unit and he is said to be in stable condition,no metre height
"April 27, 2012",Two men die in a vehicle accident in Samtse,"Two teachers of Sengten lower secondary school died in an accident, Thursday evening in Samtse. One was killed on the spot and the other died on the way to Samtse hospital.There were five people including the driver when the Hyundai Tucson, they were travelling in went off the road and fell some two hundred meters below the road at Chautari under Dorokha Dungkhag. One is said to be in critical condition while two others are said to be in stable condition. All the five are teachers at Sengten lower secondary school.The vehicle was returning from Yabala when the accident took place. They had gone to Yabala to shop form essentials for a function planned on the second of May.The probable cause of the accident is said to bad weather, as it was raining heavily at the time.",['evening'], Chautari under Dorokha Dungkhag,time.
"October 16, 2019",Motor vehicle accidents on the rise in the country,"The number of Motor vehicle accidents in the country is increasing every year. The Road Safety and Transport Authority (RSTA) recorded 1450 road accidents in the year 2018-2019.This according to the authority, is an increase of about three hundred road accidents compared to the statistics of the year 2017-2018.As per the report, the traffic accidents claimed 110 lives during the year 2017-2018 and 109 lives during 2018-2019. And due to road accidents, although the number of deaths almost remained the same, the number of people injured has increased from 557 in 2017-2018 to 692 during the year of 2018-2019.According to an official from RSTA, today, human error is one of the main reasons for the road crashes in the country.“Human error in the sense it’s the behaviour of the road users. If we talk about the motorists, it’s about over speeding, drink driving, using mobile phones or any hand-held devices while driving. These are some of the main causes and also driving without a license. If someone doesn’t have a license but still when you are out of surveillance of the law then you tend to drive because you know how to drive but you do not know the rules. So when you encounter people who know the rules and when you do not know the rules, then it leads to road crashes,” said Sonam Dhendup, a Programme Officer at RSTA.The report also states that of the total Motor vehicle accidents recorded, the majority of accidents happened in Chhukha Dzongkhag. Almost 35 per cent of the accidents occurred between Thimphu-Phuentshogling highway followed by Thimphu Jurisdiction with 20 per cent.“If we look at the figure, most of the cases are in Chhukha, so when we talk about Chhukha, I think the sole reason for having such a huge number is because Thimphu-Phuentshogling highway is one of the busiest highways in our country and its one of the commercial highways. And if you talk about Thimphu, Thimphu has 45 per cent of vehicle population, so when there are too many vehicles, so accidents, road crashes are likely to happen,” he added.He further added, to reduce road fatalities, the authority plans to enhance the frequency of inspections on the highways and create awareness on road safety.Pema Seldon Tshering",[],istics of the year 2017-2018,no metre height
